corruption,severity,ttt_mode,n_samples,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9
clean,0,baseline,10000,0.922,0.958,0.844,0.765,0.878,0.832,0.948,0.919,0.95,0.943
clean,0,per_batch,10000,0.922,0.958,0.844,0.765,0.878,0.831,0.948,0.919,0.95,0.943
clean,0,per_image,1000,0.91,0.96,0.85,0.77,0.89,0.83,0.97,0.92,0.97,0.89
gaussian_noise,1,baseline,10000,0.784,0.911,0.772,0.566,0.87,0.705,0.969,0.801,0.921,0.92
gaussian_noise,1,per_batch,10000,0.784,0.911,0.772,0.568,0.87,0.706,0.969,0.801,0.921,0.92
gaussian_noise,1,per_image,1000,0.83,0.94,0.81,0.62,0.83,0.71,0.97,0.81,0.95,0.9
gaussian_noise,2,baseline,10000,0.675,0.828,0.696,0.392,0.809,0.546,0.969,0.656,0.816,0.867
gaussian_noise,2,per_batch,10000,0.675,0.83,0.697,0.393,0.809,0.547,0.969,0.656,0.817,0.867
gaussian_noise,2,per_image,1000,0.79,0.83,0.69,0.43,0.79,0.56,0.97,0.58,0.8,0.85
gaussian_noise,3,baseline,10000,0.544,0.722,0.63,0.252,0.735,0.378,0.972,0.493,0.657,0.754
gaussian_noise,3,per_batch,10000,0.548,0.724,0.631,0.253,0.738,0.38,0.972,0.492,0.659,0.755
gaussian_noise,3,per_image,1000,0.54,0.77,0.68,0.25,0.68,0.42,0.97,0.52,0.71,0.75
gaussian_noise,4,baseline,10000,0.493,0.649,0.593,0.186,0.696,0.296,0.972,0.418,0.558,0.677
gaussian_noise,4,per_batch,10000,0.495,0.65,0.595,0.187,0.697,0.298,0.972,0.418,0.56,0.678
gaussian_noise,4,per_image,1000,0.5,0.6,0.66,0.19,0.71,0.36,0.98,0.43,0.53,0.69
gaussian_noise,5,baseline,10000,0.429,0.551,0.557,0.142,0.651,0.239,0.968,0.347,0.478,0.597
gaussian_noise,5,per_batch,10000,0.431,0.554,0.558,0.142,0.652,0.239,0.968,0.351,0.48,0.601
gaussian_noise,5,per_image,1000,0.49,0.53,0.54,0.12,0.61,0.16,0.97,0.34,0.44,0.67
shot_noise,1,baseline,10000,0.802,0.939,0.808,0.683,0.888,0.777,0.967,0.847,0.945,0.925
shot_noise,1,per_batch,10000,0.802,0.939,0.808,0.683,0.888,0.778,0.967,0.847,0.945,0.925
shot_noise,1,per_image,1000,0.73,0.94,0.86,0.67,0.9,0.78,0.98,0.81,0.95,0.95
shot_noise,2,baseline,10000,0.748,0.916,0.775,0.572,0.865,0.678,0.968,0.772,0.91,0.906
shot_noise,2,per_batch,10000,0.749,0.916,0.776,0.571,0.865,0.678,0.968,0.773,0.911,0.906
shot_noise,2,per_image,1000,0.81,0.96,0.75,0.55,0.9,0.72,0.99,0.82,0.95,0.9
shot_noise,3,baseline,10000,0.583,0.849,0.691,0.381,0.807,0.455,0.974,0.601,0.778,0.831
shot_noise,3,per_batch,10000,0.585,0.849,0.69,0.383,0.808,0.458,0.973,0.602,0.778,0.83
shot_noise,3,per_image,1000,0.54,0.84,0.65,0.34,0.87,0.34,0.99,0.59,0.78,0.8
shot_noise,4,baseline,10000,0.505,0.799,0.655,0.308,0.773,0.383,0.97,0.513,0.7,0.769
shot_noise,4,per_batch,10000,0.506,0.799,0.655,0.309,0.775,0.386,0.969,0.513,0.7,0.769
shot_noise,4,per_image,1000,0.54,0.81,0.65,0.32,0.85,0.33,0.97,0.54,0.68,0.71
shot_noise,5,baseline,10000,0.409,0.702,0.604,0.203,0.707,0.257,0.97,0.392,0.565,0.655
shot_noise,5,per_batch,10000,0.413,0.703,0.603,0.204,0.707,0.258,0.97,0.397,0.57,0.655
shot_noise,5,per_image,1000,0.43,0.73,0.52,0.22,0.66,0.33,0.98,0.36,0.61,0.61
impulse_noise,1,baseline,10000,0.887,0.937,0.805,0.696,0.816,0.776,0.945,0.878,0.92,0.922
impulse_noise,1,per_batch,10000,0.887,0.937,0.805,0.696,0.816,0.776,0.945,0.878,0.92,0.922
impulse_noise,1,per_image,1000,0.88,0.9,0.81,0.68,0.79,0.67,0.93,0.88,0.93,0.88
impulse_noise,2,baseline,10000,0.858,0.905,0.751,0.592,0.783,0.659,0.953,0.806,0.87,0.892
impulse_noise,2,per_batch,10000,0.859,0.905,0.752,0.59,0.783,0.66,0.953,0.806,0.87,0.893
impulse_noise,2,per_image,1000,0.84,0.9,0.71,0.64,0.82,0.63,0.89,0.76,0.87,0.9
impulse_noise,3,baseline,10000,0.773,0.856,0.698,0.479,0.721,0.526,0.961,0.738,0.785,0.85
impulse_noise,3,per_batch,10000,0.773,0.856,0.698,0.479,0.722,0.53,0.961,0.74,0.786,0.85
impulse_noise,3,per_image,1000,0.77,0.84,0.7,0.46,0.69,0.55,0.98,0.75,0.8,0.86
impulse_noise,4,baseline,10000,0.522,0.676,0.603,0.239,0.62,0.285,0.966,0.467,0.545,0.621
impulse_noise,4,per_batch,10000,0.523,0.676,0.601,0.239,0.624,0.286,0.966,0.468,0.546,0.622
impulse_noise,4,per_image,1000,0.41,0.74,0.57,0.27,0.63,0.26,0.96,0.46,0.59,0.55
impulse_noise,5,baseline,10000,0.328,0.42,0.523,0.11,0.506,0.122,0.959,0.274,0.312,0.399
impulse_noise,5,per_batch,10000,0.33,0.423,0.524,0.11,0.509,0.123,0.959,0.276,0.317,0.4
impulse_noise,5,per_image,1000,0.38,0.54,0.45,0.08,0.52,0.16,0.92,0.31,0.36,0.36
defocus_blur,1,baseline,10000,0.924,0.958,0.844,0.784,0.883,0.826,0.937,0.914,0.949,0.943
defocus_blur,1,per_batch,10000,0.924,0.958,0.844,0.783,0.883,0.826,0.937,0.914,0.949,0.943
defocus_blur,1,per_image,1000,0.91,0.94,0.85,0.79,0.83,0.83,0.92,0.87,0.95,0.97
defocus_blur,2,baseline,10000,0.917,0.952,0.841,0.793,0.881,0.813,0.919,0.899,0.945,0.936
defocus_blur,2,per_batch,10000,0.917,0.952,0.84,0.794,0.881,0.813,0.919,0.899,0.945,0.936
defocus_blur,2,per_image,1000,0.94,0.93,0.92,0.75,0.91,0.82,0.89,0.93,0.97,0.96
defocus_blur,3,baseline,10000,0.909,0.941,0.843,0.807,0.874,0.775,0.883,0.874,0.937,0.926
defocus_blur,3,per_batch,10000,0.909,0.941,0.843,0.806,0.875,0.775,0.883,0.874,0.937,0.926
defocus_blur,3,per_image,1000,0.89,0.92,0.81,0.84,0.86,0.81,0.86,0.83,0.93,0.9
defocus_blur,4,baseline,10000,0.898,0.929,0.852,0.807,0.847,0.733,0.828,0.843,0.931,0.914
defocus_blur,4,per_batch,10000,0.898,0.93,0.852,0.808,0.849,0.736,0.829,0.843,0.931,0.914
defocus_blur,4,per_image,1000,0.93,0.92,0.84,0.81,0.82,0.79,0.82,0.89,0.89,0.94
defocus_blur,5,baseline,10000,0.863,0.867,0.844,0.791,0.759,0.664,0.702,0.737,0.902,0.852
defocus_blur,5,per_batch,10000,0.864,0.867,0.843,0.79,0.764,0.666,0.705,0.738,0.902,0.853
defocus_blur,5,per_image,1000,0.89,0.93,0.92,0.77,0.75,0.67,0.64,0.77,0.93,0.86
glass_blur,1,baseline,10000,0.861,0.768,0.662,0.599,0.84,0.63,0.966,0.768,0.86,0.854
