corruption,severity,ttt_mode,n_samples,accuracy,loss,delta_accuracy
clean,0,baseline,10000,0.8959,0.3632524240016937,
clean,0,per_batch,10000,0.8958,0.36324559540748597,-9.999999999998899e-05
clean,0,per_image,1000,0.896,0.35462536445632575,0.0
gaussian_noise,1,baseline,10000,0.8219,0.5722038507461548,
gaussian_noise,1,per_batch,10000,0.8222,0.5715310256004333,0.000300000000000078
gaussian_noise,1,per_image,1000,0.837,0.5359926768019796,0.0
gaussian_noise,2,baseline,10000,0.7254,0.8471295951843262,
gaussian_noise,2,per_batch,10000,0.726,0.8451381376266479,0.0005999999999999339
gaussian_noise,2,per_image,1000,0.729,0.837651360116899,0.0010000000000000009
gaussian_noise,3,baseline,10000,0.6137,1.1905079738616944,
gaussian_noise,3,per_batch,10000,0.6152,1.1864383674621581,0.0014999999999999458
gaussian_noise,3,per_image,1000,0.629,1.1244022031463683,-0.0050000000000000044
gaussian_noise,4,baseline,10000,0.5538,1.3906587940216064,
gaussian_noise,4,per_batch,10000,0.555,1.3860427682876586,0.0012000000000000899
gaussian_noise,4,per_image,1000,0.565,1.3695370235964657,-0.0030000000000000027
gaussian_noise,5,baseline,10000,0.4959,1.5790590969085694,
gaussian_noise,5,per_batch,10000,0.4976,1.5741575031280517,0.0016999999999999793
gaussian_noise,5,per_image,1000,0.487,1.5942374994270503,-0.0020000000000000018
shot_noise,1,baseline,10000,0.8581,0.46862444648742674,
shot_noise,1,per_batch,10000,0.8582,0.468289288187027,9.999999999998899e-05
shot_noise,1,per_image,1000,0.857,0.48133104886114597,0.0
shot_noise,2,baseline,10000,0.811,0.5912946677207946,
shot_noise,2,per_batch,10000,0.8113,0.5904052570343018,0.00029999999999996696
shot_noise,2,per_image,1000,0.835,0.5371455814018845,0.0
shot_noise,3,baseline,10000,0.695,0.9484859340667725,
shot_noise,3,per_batch,10000,0.6956,0.9461384052276611,0.0006000000000000449
shot_noise,3,per_image,1000,0.674,0.9999949181266129,0.0
shot_noise,4,baseline,10000,0.6375,1.1178221315383912,
shot_noise,4,per_batch,10000,0.6381,1.1142903686523438,0.0006000000000000449
shot_noise,4,per_image,1000,0.64,1.141365690369159,-0.0030000000000000027
shot_noise,5,baseline,10000,0.5464,1.4165463775634766,
shot_noise,5,per_batch,10000,0.548,1.4118446557998656,0.0016000000000000458
shot_noise,5,per_image,1000,0.545,1.4087095863260328,0.0
impulse_noise,1,baseline,10000,0.8582,0.46629561195373537,
