corruption,severity,ttt_mode,n_samples,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9
clean,0,baseline,10000,0.922,0.958,0.844,0.765,0.878,0.832,0.948,0.919,0.95,0.943
clean,0,per_batch,10000,0.923,0.96,0.844,0.764,0.88,0.832,0.949,0.92,0.953,0.945
clean,0,per_image,1000,0.92,0.96,0.85,0.74,0.89,0.86,0.97,0.92,0.96,0.9
gaussian_noise,1,baseline,10000,0.784,0.911,0.772,0.567,0.87,0.705,0.969,0.801,0.921,0.92
gaussian_noise,1,per_batch,10000,0.809,0.913,0.779,0.598,0.876,0.725,0.963,0.815,0.924,0.92
gaussian_noise,1,per_image,1000,0.78,0.92,0.74,0.55,0.83,0.68,0.96,0.85,0.93,0.94
gaussian_noise,2,baseline,10000,0.67,0.831,0.693,0.406,0.811,0.542,0.97,0.646,0.819,0.867
gaussian_noise,2,per_batch,10000,0.736,0.847,0.721,0.441,0.835,0.592,0.959,0.703,0.843,0.888
gaussian_noise,2,per_image,1000,0.72,0.92,0.68,0.35,0.84,0.56,0.94,0.63,0.89,0.87
gaussian_noise,3,baseline,10000,0.546,0.72,0.629,0.252,0.736,0.382,0.972,0.494,0.657,0.755
gaussian_noise,3,per_batch,10000,0.622,0.761,0.659,0.313,0.765,0.437,0.965,0.551,0.723,0.814
gaussian_noise,3,per_image,1000,0.54,0.75,0.65,0.31,0.76,0.4,0.97,0.63,0.67,0.77
gaussian_noise,4,baseline,10000,0.493,0.645,0.59,0.187,0.697,0.298,0.972,0.418,0.56,0.677
gaussian_noise,4,per_batch,10000,0.57,0.699,0.618,0.246,0.735,0.362,0.958,0.484,0.636,0.737
gaussian_noise,4,per_image,1000,0.53,0.65,0.6,0.1,0.68,0.39,0.96,0.4,0.55,0.68
gaussian_noise,5,baseline,10000,0.435,0.555,0.56,0.143,0.652,0.24,0.963,0.35,0.483,0.601
gaussian_noise,5,per_batch,10000,0.528,0.622,0.585,0.194,0.691,0.285,0.955,0.421,0.564,0.683
gaussian_noise,5,per_image,1000,0.45,0.54,0.65,0.16,0.64,0.39,0.97,0.31,0.48,0.56
shot_noise,1,baseline,10000,0.802,0.939,0.813,0.685,0.89,0.777,0.967,0.845,0.945,0.926
shot_noise,1,per_batch,10000,0.819,0.942,0.815,0.691,0.886,0.78,0.966,0.853,0.946,0.927
shot_noise,1,per_image,1000,0.84,0.91,0.83,0.71,0.82,0.81,0.98,0.83,0.94,0.95
shot_noise,2,baseline,10000,0.748,0.916,0.775,0.572,0.864,0.678,0.968,0.772,0.91,0.907
shot_noise,2,per_batch,10000,0.77,0.92,0.787,0.6,0.874,0.702,0.963,0.795,0.921,0.907
shot_noise,2,per_image,1000,0.8,0.92,0.72,0.51,0.85,0.64,0.94,0.75,0.95,0.93
shot_noise,3,baseline,10000,0.589,0.85,0.687,0.378,0.81,0.458,0.975,0.6,0.782,0.829
shot_noise,3,per_batch,10000,0.646,0.866,0.715,0.43,0.827,0.504,0.965,0.634,0.818,0.845
shot_noise,3,per_image,1000,0.62,0.86,0.7,0.4,0.78,0.52,0.96,0.48,0.86,0.8
shot_noise,4,baseline,10000,0.506,0.797,0.655,0.309,0.769,0.384,0.969,0.51,0.695,0.765
shot_noise,4,per_batch,10000,0.581,0.816,0.678,0.363,0.806,0.427,0.965,0.559,0.747,0.81
shot_noise,4,per_image,1000,0.52,0.82,0.6,0.31,0.7,0.45,0.96,0.52,0.76,0.88
shot_noise,5,baseline,10000,0.41,0.703,0.603,0.203,0.707,0.257,0.97,0.394,0.567,0.655
shot_noise,5,per_batch,10000,0.485,0.746,0.641,0.271,0.759,0.306,0.964,0.463,0.646,0.698
shot_noise,5,per_image,1000,0.46,0.78,0.53,0.16,0.7,0.33,0.97,0.48,0.6,0.65
impulse_noise,1,baseline,10000,0.89,0.937,0.801,0.706,0.817,0.765,0.951,0.873,0.914,0.921
impulse_noise,1,per_batch,10000,0.893,0.936,0.801,0.689,0.818,0.783,0.944,0.882,0.92,0.923
impulse_noise,1,per_image,1000,0.85,0.94,0.81,0.72,0.88,0.74,0.97,0.9,0.92,0.91
impulse_noise,2,baseline,10000,0.858,0.905,0.752,0.591,0.783,0.659,0.953,0.806,0.87,0.892
impulse_noise,2,per_batch,10000,0.868,0.906,0.752,0.601,0.787,0.676,0.948,0.822,0.874,0.898
impulse_noise,2,per_image,1000,0.85,0.93,0.78,0.6,0.79,0.67,0.95,0.81,0.9,0.88
impulse_noise,3,baseline,10000,0.774,0.856,0.698,0.479,0.721,0.526,0.961,0.738,0.785,0.85
impulse_noise,3,per_batch,10000,0.792,0.861,0.702,0.501,0.748,0.584,0.951,0.758,0.801,0.869
impulse_noise,3,per_image,1000,0.75,0.86,0.69,0.42,0.79,0.63,0.98,0.82,0.8,0.85
impulse_noise,4,baseline,10000,0.531,0.68,0.604,0.25,0.63,0.291,0.966,0.471,0.55,0.629
