corruption,severity,ttt_mode,n_samples,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9
clean,0,baseline,10000,0.922,0.958,0.844,0.765,0.878,0.832,0.948,0.919,0.95,0.943
clean,0,per_batch,10000,0.923,0.958,0.844,0.765,0.879,0.83,0.948,0.919,0.951,0.943
clean,0,per_image,1000,0.91,0.96,0.86,0.76,0.89,0.84,0.97,0.92,0.97,0.9
gaussian_noise,1,baseline,10000,0.784,0.911,0.772,0.566,0.87,0.705,0.969,0.801,0.921,0.92
gaussian_noise,1,per_batch,10000,0.792,0.911,0.772,0.575,0.872,0.711,0.968,0.802,0.922,0.919
gaussian_noise,1,per_image,1000,0.82,0.92,0.79,0.54,0.92,0.73,0.98,0.77,0.89,0.89
gaussian_noise,2,baseline,10000,0.692,0.83,0.699,0.389,0.811,0.543,0.969,0.659,0.816,0.87
gaussian_noise,2,per_batch,10000,0.688,0.838,0.702,0.4,0.815,0.556,0.967,0.674,0.823,0.875
gaussian_noise,2,per_image,1000,0.64,0.86,0.72,0.4,0.86,0.58,0.97,0.6,0.86,0.84
gaussian_noise,3,baseline,10000,0.548,0.722,0.633,0.256,0.738,0.387,0.972,0.494,0.656,0.757
gaussian_noise,3,per_batch,10000,0.57,0.739,0.636,0.266,0.742,0.396,0.972,0.508,0.671,0.769
gaussian_noise,3,per_image,1000,0.57,0.77,0.6,0.28,0.76,0.33,0.98,0.48,0.7,0.78
gaussian_noise,4,baseline,10000,0.491,0.649,0.591,0.192,0.699,0.302,0.972,0.419,0.56,0.681
gaussian_noise,4,per_batch,10000,0.514,0.663,0.602,0.204,0.71,0.311,0.97,0.434,0.572,0.699
gaussian_noise,4,per_image,1000,0.47,0.65,0.55,0.24,0.74,0.3,0.95,0.48,0.61,0.62
gaussian_noise,5,baseline,10000,0.429,0.551,0.557,0.142,0.651,0.239,0.968,0.348,0.477,0.597
gaussian_noise,5,per_batch,10000,0.444,0.564,0.568,0.153,0.661,0.245,0.966,0.36,0.493,0.623
gaussian_noise,5,per_image,1000,0.41,0.54,0.61,0.14,0.64,0.22,0.98,0.3,0.49,0.64
shot_noise,1,baseline,10000,0.802,0.938,0.806,0.685,0.888,0.779,0.967,0.849,0.944,0.925
shot_noise,1,per_batch,10000,0.805,0.94,0.811,0.686,0.886,0.779,0.967,0.848,0.945,0.925
shot_noise,1,per_image,1000,0.81,0.93,0.9,0.68,0.84,0.79,0.94,0.87,0.95,0.9
shot_noise,2,baseline,10000,0.748,0.916,0.775,0.572,0.865,0.678,0.968,0.772,0.91,0.906
shot_noise,2,per_batch,10000,0.756,0.918,0.781,0.577,0.867,0.681,0.965,0.779,0.914,0.906
shot_noise,2,per_image,1000,0.79,0.91,0.77,0.58,0.87,0.76,0.97,0.81,0.86,0.92
shot_noise,3,baseline,10000,0.582,0.848,0.691,0.38,0.807,0.456,0.974,0.601,0.777,0.831
shot_noise,3,per_batch,10000,0.593,0.853,0.695,0.389,0.812,0.47,0.972,0.611,0.79,0.834
shot_noise,3,per_image,1000,0.58,0.89,0.77,0.36,0.81,0.46,1.0,0.49,0.68,0.84
shot_noise,4,baseline,10000,0.509,0.799,0.656,0.314,0.772,0.38,0.969,0.511,0.692,0.769
shot_noise,4,per_batch,10000,0.523,0.807,0.66,0.316,0.775,0.395,0.967,0.529,0.709,0.781
shot_noise,4,per_image,1000,0.53,0.86,0.65,0.33,0.65,0.34,0.97,0.51,0.73,0.73
shot_noise,5,baseline,10000,0.409,0.703,0.603,0.202,0.707,0.257,0.97,0.393,0.567,0.655
shot_noise,5,per_batch,10000,0.426,0.711,0.61,0.222,0.721,0.266,0.968,0.41,0.585,0.669
shot_noise,5,per_image,1000,0.43,0.76,0.6,0.24,0.7,0.35,0.95,0.47,0.55,0.68
impulse_noise,1,baseline,10000,0.887,0.937,0.805,0.696,0.816,0.776,0.945,0.878,0.92,0.922
impulse_noise,1,per_batch,10000,0.887,0.937,0.804,0.692,0.816,0.78,0.946,0.878,0.919,0.922
impulse_noise,1,per_image,1000,0.87,0.9,0.74,0.63,0.77,0.78,0.96,0.87,0.94,0.92
impulse_noise,2,baseline,10000,0.859,0.905,0.753,0.591,0.783,0.659,0.953,0.806,0.87,0.892
impulse_noise,2,per_batch,10000,0.86,0.905,0.752,0.594,0.785,0.663,0.951,0.808,0.872,0.893
impulse_noise,2,per_image,1000,0.8,0.91,0.82,0.62,0.75,0.58,0.93,0.85,0.93,0.94
impulse_noise,3,baseline,10000,0.771,0.854,0.699,0.482,0.723,0.53,0.961,0.736,0.786,0.85
impulse_noise,3,per_batch,10000,0.777,0.86,0.699,0.478,0.726,0.54,0.96,0.747,0.789,0.851
impulse_noise,3,per_image,1000,0.8,0.88,0.74,0.48,0.77,0.57,0.96,0.78,0.73,0.87
impulse_noise,4,baseline,10000,0.523,0.676,0.603,0.24,0.62,0.285,0.966,0.468,0.545,0.621
impulse_noise,4,per_batch,10000,0.543,0.687,0.6,0.248,0.641,0.301,0.966,0.488,0.559,0.642
impulse_noise,4,per_image,1000,0.53,0.8,0.54,0.28,0.59,0.3,0.94,0.44,0.59,0.67
impulse_noise,5,baseline,10000,0.327,0.421,0.522,0.109,0.511,0.125,0.958,0.275,0.317,0.394
impulse_noise,5,per_batch,10000,0.346,0.446,0.529,0.122,0.525,0.138,0.954,0.294,0.335,0.42
impulse_noise,5,per_image,1000,0.34,0.42,0.49,0.09,0.49,0.11,0.94,0.37,0.33,0.33
defocus_blur,1,baseline,10000,0.924,0.958,0.844,0.786,0.883,0.825,0.938,0.914,0.949,0.941
defocus_blur,1,per_batch,10000,0.924,0.958,0.844,0.781,0.884,0.824,0.939,0.914,0.948,0.943
defocus_blur,1,per_image,1000,0.94,0.95,0.9,0.8,0.92,0.85,0.96,0.96,0.98,0.94
defocus_blur,2,baseline,10000,0.917,0.951,0.84,0.793,0.881,0.813,0.919,0.9,0.945,0.936
defocus_blur,2,per_batch,10000,0.918,0.951,0.84,0.793,0.882,0.814,0.921,0.9,0.946,0.936
defocus_blur,2,per_image,1000,0.92,0.96,0.82,0.81,0.88,0.83,0.9,0.91,0.96,0.96
defocus_blur,3,baseline,10000,0.909,0.941,0.843,0.807,0.874,0.775,0.883,0.874,0.937,0.926
